"Server IP","Server Group","Server Group Mode","Hostname"
"200.152.45.141","03 - RFB - REFIS","Active","200.152.45.141"
"200.152.45.76","09 - BI MTE WEB FOCUS","Active","200.152.45.76"
"200.152.45.241","14 - Serviços de Nuvem","Active","vcloudsp.dataprev.gov.br"
"200.152.45.211","06 - MPS","Active","dadospublicos.previdencia.gov.br"
"10.146.32.35","20 - BGINSS","Simulation","v321p385.prevnet"
"200.152.45.145","21 - HOMOLOGAÇÃO - LEARNING","Simulation","200.152.45.145"
"10.198.64.24","30 - Grupo Geral -  Learning","Simulation","10.198.64.24"
"200.152.46.2","30 - Grupo Geral -  Learning","Simulation","retgps.dataprev.gov.br"
"200.152.44.13","30 - Grupo Geral -  Learning","Simulation","vpnspcert.dataprev.gov.br"
"200.152.45.24","21 - HOMOLOGAÇÃO - LEARNING","Simulation","hsprev.dataprev.gov.br"
"200.152.45.137","02 - RFB - WWW3SP","Active","200.152.45.137"
"10.146.23.11","05 - SDM","Active","psdmapl01.prevnet"
"200.152.45.200","12 - INSS - PRISMA","Active","prismaempresa.dataprev.gov.br"
"200.152.45.143","03 - RFB - REFIS","Active","200.152.45.143"
"10.31.220.1","17 - W3B9","Disabled","w3b9.prevnet"
"200.152.45.198","12 - INSS - PRISMA","Active","200.152.45.198"
"200.152.45.16","07 - MPA - ANVISA","Active","200.152.45.16"
"200.152.45.39","05 - SDM","Active","wwwsdm.dataprev.gov.br"
"200.152.45.199","12 - INSS - PRISMA","Active","www882.dataprev.gov.br"
"200.152.45.35","13 - MarketPlace API","Active","endpointsp.dataprev.gov.br"
"200.152.39.65","12 - Serviços INSS - 01","Active","200.152.39.65"
"200.152.39.38","05 - Serviços de Analytics","Active","hu.dataprev.gov.br"
"200.152.39.39","05 - Serviços de Analytics","Active","owa.dataprev.gov.br"
"200.152.40.106","01 - Serviços de autenticação","Active","geridprevic.dataprev.gov.br"
"200.152.40.83","10 - Serviços Previdencia - MPS","Active","souweb.previdencia.gov.br"
"200.152.42.119","02 - Serviços Dataprev - RIE","Active","chat.colaborar.dataprev.gov.br"
"200.152.40.10","20 - Em desmobilização","Active","relatoriosgd.dataprev.gov.br"
"200.152.40.54","04 - Escola Virtual","Active","escola.previdencia.gov.br"
"200.152.40.42","20 - Em desmobilização","Active","200.152.40.42"
"200.152.40.60","23 - Homologação","Active","hportal.inss.gov.br"
"200.152.40.240","25 - VIPs Learning","Simulation","webmailmps.previdencia.gov.br"
"200.152.43.212","02 - Serviços Dataprev - RIE","Active","eu.dataprev.gov.br"
